English,Chinese,Category,Notes


# HVAC 核心词汇
HVAC,HVAC（暖通空调）,Domain,领域缩写
Supply air,送风,HVAC,气流方向
Return air,回风,HVAC,气流方向
Exhaust air,排风,HVAC,气流方向
Outdoor air,新风/HVAC,空气来源
VAV (Variable Air Volume),变风量（VAV）,HVAC,核心概念
VAV box,VAV箱,HVAC,设备
Supply air VAV,送风VAV,HVAC,设备类型
Terminal,末端设备,HVAC,通用术语
Supply terminal,送风末端,HVAC,设备
Air damper,风阀,HVAC,执行器
Damper position,风阀开度,HVAC,参数
Airflow,气流/风量,HVAC,物理量
Air volume flow,空气体积流量,HVAC,物理量
Nominal flow,额定流量,HVAC,参数
Maximum airflow,最大风量,HVAC,参数
Minimum airflow,最小风量,HVAC,参数
Airflow setpoint,风量设定值,HVAC,参数
Airflow demand,风量需求,HVAC,信号
Airflow status,风量状态,HVAC,状态
Relative airflow,相对风量,HVAC,计算值
Cooling,制冷,HVAC,模式
Heating,制热/HVAC,模式
Ventilation,通风,HVAC,模式
Make-up,补风,HVAC,模式
Constant Volume (CV),定流量（CV）,HVAC,模式
Variable Air Volume (VAV),变风量（VAV）,HVAC,模式
Fume hood,通风柜/排风罩,HVAC,特殊设备
Coil,盘管/换热器,HVAC,热交换组件
Cooling coil,制冷盘管,HVAC,设备
Heating coil,制热盘管,HVAC,设备
Reheat coil,再热盘管,HVAC,设备
Chilled beam,冷梁,HVAC,末端设备
AHU (Air Handling Unit),空气处理机组（AHU）,HVAC,核心设备
Central AHU,中央空调机组,HVAC,设备
Air handling unit,空气处理单元,HVAC,设备
Supply chain,送风链路/HVAC,系统概念
Fan,风机/HVAC,设备
Fan speed,风机转速,HVAC,参数
Static pressure,静压/HVAC,物理量
Static pressure reset,静压重置/HVAC,控制策略
Duct,风管/HVAC,管道
Supply duct,送风管,HVAC,管道
Duct system,风管系统/HVAC,系统
Airflow resistance,气流阻力/HVAC,物理量
Pressure sensor,压力传感器,HVAC,传感器
Differential pressure sensor,差压传感器,HVAC,传感器
Flow sensor,流量传感器,HVAC,传感器
Actuator,执行器/HVAC,设备
Controller,控制器/HVAC,设备
External controller,外部控制器/HVAC,设备
Device mode,设备模式/HVAC,状态
Control mode,控制模式/HVAC,模式
Off,关闭/停机,Mode,通用状态
On,开启/运行,Mode,通用状态
Available,可用,Status,状态
Availability,可用性,Status,属性
Demand,需求,Signal,信号类型
Request,请求,Signal,信号类型
Command,命令,Signal,信号类型
Setpoint,设定值,Parameter,参数类型
Default value,默认值,Parameter,属性
Configuration,配置,General,操作
Configure,配置,Operation,操作
Parameter,参数,General,通用
Property,属性,General,对象属性
Object,对象,BACnet,数据结构
Value,值,Data,数据
Present value,当前值,BACnet,属性名
Scaling value,标定值/缩放值,Parameter,参数
Normalized,标准化的,Math,数学描述
Percent,百分比,Unit,单位


# ==================== HVAC 设备类 ====================
Active chilled beam,主动冷梁,HVAC,HVAC末端设备
Chilled water cooling coil,冷冻水冷却盘管,HVAC,换热设备
Control valve,控制阀,HVAC,执行设备
Modulating water valve,调节水阀,HVAC,执行设备
Modulating valve,调节阀,HVAC,执行设备
Heat pump,热泵,HVAC,冷热源设备
